Ticker,Date,Close,Monthly Return (%)
Fintech,01/12/2020,1719.5,1.80600279
Fintech,01/01/2021,1916,11.42774062
NASDAQ,01/01/2021,6468.393088,0.87
S&P 500,01/01/2021,3793.75,1.80600279
Fintech,01/02/2021,1903.5,-0.652400835
NASDAQ,01/02/2021,13192.34961,0.930778526
S&P 500,01/02/2021,3811.149902,2.609145138
Fintech,01/03/2021,2041.5,7.249802994
NASDAQ,01/03/2021,13246.87012,0.413273673
S&P 500,01/03/2021,3972.889893,4.243863253
Fintech,01/04/2021,1890.400024,-7.401419328
NASDAQ,01/04/2021,13962.67969,5.403612808
S&P 500,01/04/2021,4181.169922,5.242532135
Fintech,01/05/2021,2060.5,8.998094233
NASDAQ,01/05/2021,13748.74023,-1.532223455
S&P 500,01/05/2021,4204.109863,0.548648867
Fintech,01/06/2021,2289.5,11.11380733
NASDAQ,01/06/2021,14503.9502,5.492939339
S&P 500,01/06/2021,4297.5,2.221400957
Fintech,01/07/2021,999,19.4365582
NASDAQ,01/07/2021,14672.67969,1.163334746
S&P 500,01/07/2021,4395.259766,2.274805483
Fintech,01/08/2021,1087,8.808808809
NASDAQ,01/08/2021,15259.24023,3.99763751
S&P 500,01/08/2021,4522.680176,2.899041626
Fintech,01/09/2021,820.2000122,-24.54461709
NASDAQ,01/09/2021,14448.58008,-5.312585317
S&P 500,01/09/2021,4307.540039,-4.75691688
Fintech,01/10/2021,2447.5,-6.244014557
NASDAQ,01/10/2021,15498.38965,7.265832107
S&P 500,01/10/2021,4605.379883,6.91438364
Fintech,01/11/2021,2311.5,-5.556690501
NASDAQ,01/11/2021,15537.69043,0.253579773
S&P 500,01/11/2021,4567,-0.833370618
Fintech,01/12/2021,235.3018526,-4.787022473
NASDAQ,01/12/2021,15644.96973,0.69044558
S&P 500,01/12/2021,4766.180176,4.361291346
